slot_id,zone,slot_type,distance_m,walking_time_min,parking_fee,occupancy,availability,distance_destination_m,traffic_level,weather,ev_charging,reserved,recommended
S052,A,Standard,103,2.09,50,18,1,197,High,Rain,0,0,1
S093,A,Standard,104,1.82,40,17,0,172,Low,Clear,1,0,0
S015,A,EV,937,15.56,20,16,0,161,Medium,Cloudy,1,0,0
S072,A,EV,794,12.92,80,46,0,1072,Medium,Clear,1,0,0
S061,B,Standard,326,5.91,20,64,0,1061,Low,Clear,0,0,0
S021,C,Large,492,8.5,40,76,0,117,Medium,Clear,0,0,0
S083,A,Standard,932,15.86,60,17,0,877,High,Rain,1,1,0
S087,C,Standard,467,8.06,80,78,1,941,High,Clear,0,0,0
S075,C,Large,681,11.14,10,14,1,1078,Low,Rain,1,0,0
S075,B,Standard,274,4.65,20,26,0,1191,Medium,Cloudy,1,0,0
S088,A,EV,619,10.64,80,67,1,279,Medium,Cloudy,1,1,0
S100,B,Standard,304,5.35,40,72,0,209,High,Clear,0,0,0
S024,A,Compact,225,3.8,20,36,1,235,Low,Rain,0,0,1
S003,B,Standard,615,10.84,50,85,0,1063,High,Clear,0,0,0
S022,C,Standard,195,3.41,60,77,1,926,High,Clear,0,0,0
S053,A,Compact,820,14.06,100,37,0,601,High,Cloudy,1,0,0
S002,D,Standard,713,11.94,100,98,1,196,Medium,Clear,0,0,0
S088,C,Standard,434,7.12,100,67,0,485,Low,Clear,0,0,0
S030,D,Standard,311,5.47,20,59,1,781,Medium,Rain,0,0,1
S038,C,Standard,580,9.89,60,76,1,109,Low,Cloudy,0,0,1
S002,B,Large,903,15.15,60,40,1,892,Medium,Clear,0,0,0
S064,A,Standard,420,6.75,50,21,1,453,Medium,Clear,0,0,1
S060,C,Compact,732,12.5,80,64,1,930,Low,Cloudy,0,0,0
S021,B,Standard,940,15.43,60,13,0,1187,Low,Cloudy,0,0,0
S033,A,Standard,953,16.12,50,51,0,664,Low,Clear,0,1,0
S076,A,Standard,246,3.77,100,100,1,385,Low,Clear,0,0,1
S058,C,Standard,997,16.36,20,63,0,880,Medium,Clear,0,0,0
S022,A,Standard,634,10.65,20,31,1,334,Low,Clear,0,0,1
S089,C,Compact,864,14.57,60,10,0,178,High,Rain,0,0,0
S049,A,Large,646,10.83,50,57,1,364,Medium,Rain,0,0,0
S091,D,Standard,333,5.39,20,52,1,1009,Medium,Clear,0,0,1
S059,B,Standard,351,6.18,60,29,1,120,Low,Clear,0,0,1
S042,D,Standard,181,3.06,80,27,1,394,High,Cloudy,0,0,1
S092,C,Standard,169,2.87,10,79,0,1171,High,Cloudy,0,0,0
S060,D,Standard,777,12.9,30,58,1,225,Low,Clear,0,0,0
S080,C,Standard,185,2.87,80,85,0,933,Low,Clear,0,0,0
S015,A,Standard,677,11.62,80,26,1,1148,Medium,Clear,1,0,0
S062,A,Standard,622,10.17,30,62,1,192,Medium,Rain,0,0,1
S062,C,Standard,578,10.14,40,31,1,980,Low,Cloudy,1,0,0
S047,D,Standard,83,1.14,60,91,1,1096,High,Clear,0,0,0
S062,A,Standard,581,9.78,30,19,0,230,Medium,Rain,0,0,0
S051,B,Standard,257,4.3,10,33,1,1118,Medium,Rain,0,1,0
S055,A,Standard,723,12.02,60,93,1,141,Low,Clear,0,0,0
S064,B,Standard,348,6.0,30,21,1,83,Low,Cloudy,0,1,0
S003,D,Standard,571,9.75,30,13,0,727,Low,Cloudy,1,0,0
S051,B,Standard,143,2.54,10,51,1,808,Low,Cloudy,0,0,1
S007,B,Standard,463,7.4,100,14,0,431,High,Cloudy,0,0,0
S021,B,Standard,420,6.65,50,35,1,1015,Medium,Cloudy,0,0,0
S073,B,Standard,458,7.26,100,68,0,436,High,Rain,0,0,0
S039,A,Standard,432,7.13,100,71,1,584,High,Clear,1,0,0
S018,B,Compact,490,8.8,100,89,0,249,Low,Clear,0,0,0
S004,A,Standard,927,15.44,30,14,1,324,Low,Clear,0,0,0
S089,B,Standard,496,8.9,80,35,0,550,High,Clear,1,0,0
S060,C,Large,668,11.12,100,92,1,508,Medium,Clear,0,0,0
S014,D,Standard,666,11.15,40,15,0,99,Medium,Clear,0,0,0
S009,B,Standard,120,2.18,80,33,1,1019,Medium,Rain,0,0,1
S090,C,Large,992,16.45,100,62,0,1037,High,Rain,0,1,0
S053,B,Large,133,2.28,30,16,1,581,Medium,Cloudy,0,0,1
S002,B,Standard,258,3.79,100,19,0,1053,High,Rain,0,1,0
S084,B,Standard,308,4.87,30,48,0,677,High,Clear,0,0,0
S092,C,Standard,288,4.3,10,95,1,1165,Medium,Clear,0,0,0
S060,D,Standard,351,6.07,100,87,0,388,Medium,Clear,1,0,0
S071,C,Compact,281,4.27,100,37,0,1126,Low,Clear,0,0,0
S044,D,Standard,981,16.77,10,51,1,53,Low,Rain,1,1,0
S008,B,Standard,331,5.62,60,71,1,330,Medium,Cloudy,0,0,1
S047,A,EV,443,7.67,40,61,1,122,Low,Clear,1,0,1
S035,B,EV,467,7.59,20,31,0,817,High,Clear,1,1,0
S078,D,Standard,255,3.91,10,66,0,1020,Medium,Clear,0,0,0
S081,C,Compact,313,5.11,100,20,1,1047,High,Clear,0,1,0
S036,B,Standard,360,6.32,20,23,0,257,Low,Clear,0,0,0
S050,C,Large,908,15.77,100,40,1,309,High,Cloudy,0,0,0
S004,C,Standard,955,16.07,40,13,0,979,Medium,Rain,0,0,0
S002,C,Standard,746,12.04,30,31,1,312,High,Rain,0,0,0
S006,B,Standard,675,10.96,60,73,1,832,Low,Clear,0,0,0
S054,C,Standard,128,1.69,30,86,1,554,Medium,Clear,0,0,1
S004,C,Standard,918,15.26,80,93,0,252,Medium,Rain,0,0,0
S054,B,Large,391,6.43,60,92,1,101,Low,Cloudy,0,0,1
S093,C,Compact,862,14.33,20,88,0,412,Low,Cloudy,0,0,0
S063,B,Standard,611,9.86,80,99,1,94,High,Cloudy,1,0,0
S018,D,Standard,881,14.33,40,93,1,876,Low,Clear,0,0,0
S090,D,Standard,144,2.43,40,70,0,838,Low,Clear,0,0,0
S044,D,Large,819,13.8,10,15,1,820,Low,Rain,0,0,0
S034,C,EV,990,16.14,100,88,1,191,High,Clear,1,0,0
S074,A,EV,400,6.81,20,77,0,846,Medium,Cloudy,1,0,0
S062,A,Large,111,2.13,60,15,1,86,Low,Clear,0,0,1
S100,C,Standard,191,2.48,10,75,0,94,Medium,Clear,1,0,0
S014,A,Standard,891,15.32,20,45,1,969,High,Clear,0,0,0
S095,B,Compact,783,13.26,80,24,1,1119,Low,Clear,0,0,0
S048,A,EV,917,15.57,10,85,1,614,Low,Clear,1,0,0
S015,C,Standard,160,2.36,10,49,0,350,Low,Clear,0,0,0
S072,C,Standard,665,11.32,40,50,1,337,Medium,Cloudy,0,0,0
S078,B,Large,576,9.87,40,16,1,835,Medium,Rain,0,0,0
S087,D,Standard,831,13.65,30,31,1,318,Medium,Cloudy,0,0,0
S062,C,Standard,720,12.23,30,81,1,840,Medium,Clear,0,0,0
S040,B,Compact,206,3.39,40,20,1,1135,Low,Cloudy,0,0,1
S085,A,Standard,588,9.61,40,11,1,630,Low,Clear,0,0,1
S080,A,Standard,646,10.71,80,39,1,985,Low,Cloudy,0,0,0
S082,B,Large,58,1.02,100,77,0,403,Low,Clear,0,1,0
S053,B,Compact,325,5.33,10,62,1,1017,Low,Clear,1,0,1
S024,C,EV,276,4.36,30,98,0,120,Medium,Rain,1,0,0
S026,A,Standard,235,4.03,40,30,0,884,Low,Clear,0,0,0
S089,B,Standard,640,10.83,20,34,1,462,Medium,Clear,0,0,1
S060,A,Compact,265,4.46,20,82,1,661,Medium,Clear,1,0,1
S041,B,Standard,482,7.55,30,81,1,1134,Low,Clear,0,0,0
S029,A,Standard,618,10.12,20,14,1,664,Medium,Cloudy,0,0,1
S015,D,Large,705,11.5,60,75,1,578,Medium,Rain,0,0,0
S045,C,Standard,405,7.27,10,94,1,240,High,Cloudy,0,1,0
S065,A,Standard,892,14.9,30,58,1,127,High,Cloudy,0,0,0
S089,D,Standard,441,7.27,60,17,0,938,Medium,Cloudy,0,1,0
S071,A,Standard,628,10.3,40,96,0,998,Medium,Clear,1,0,0
S009,A,Standard,324,5.36,80,88,0,66,Low,Clear,0,0,0
S088,D,Standard,543,9.28,80,36,1,864,Medium,Clear,0,0,0
S001,A,Compact,666,10.55,60,11,1,483,High,Clear,0,0,0
S008,A,EV,500,8.4,20,37,0,1116,Medium,Cloudy,1,0,0
S088,C,Standard,469,7.67,10,20,1,1141,Low,Clear,1,0,1
S063,D,Standard,749,12.61,40,55,0,261,Medium,Clear,0,0,0
